side,message,operation,time_ms
server,M1,process_request,0.328
server,M2,generate_response,0.446
server,M3,process_ownership_message,3.346
server,M4,generate_ack,0.053
server,M1,process_request,1.762
server,M2,generate_response,2.189
server,M3,process_ownership_message,1.507
server,M4,generate_ack,0.013
server,M1,process_request,0.243
server,M2,generate_response,0.375
server,M3,process_ownership_message,0.559
server,M4,generate_ack,0.011
server,M1,process_request,0.309
server,M2,generate_response,0.488
server,M3,process_ownership_message,0.761
server,M4,generate_ack,0.017
server,M1,process_request,0.244
server,M2,generate_response,0.376
server,M3,process_ownership_message,0.637
server,M4,generate_ack,0.034
server,M1,process_request,0.267
server,M2,generate_response,0.402
server,M3,process_ownership_message,0.596
server,M4,generate_ack,0.011
server,M1,process_request,0.292
server,M2,generate_response,0.438
server,M3,process_ownership_message,0.554
server,M4,generate_ack,0.022
server,M1,process_request,0.259
server,M2,generate_response,0.385
server,M3,process_ownership_message,0.599
server,M4,generate_ack,0.010
server,M1,process_request,0.308
server,M2,generate_response,0.488
server,M3,process_ownership_message,0.896
server,M4,generate_ack,0.015
